record,arm_or_contrast,metric,value
result,clean,pooled_auprc,0.8330226845762901
result,clean,pooled_f1_at_05,0.7036954337389751
result,clean,ece10_scalar,0.008740825154958203
result,twohop,pooled_auprc,0.8700229464302716
result,twohop,pooled_f1_at_05,0.7551630220905471
result,twohop,ece10_scalar,0.007864915006484598
result,gnn,pooled_auprc,0.9770778258449528
result,gnn,pooled_f1_at_05,0.8694960306337228
result,gnn,ece10_scalar,0.029658771082815245
contrast,gnn_minus_clean,delta_auprc,0.1440551412686627
contrast,gnn_minus_clean,ci95_low,0.1370602535788751
contrast,gnn_minus_clean,ci95_high,0.1509698492158229
contrast,gnn_minus_twohop,delta_auprc,0.10705487941468128
contrast,gnn_minus_twohop,ci95_low,0.10059333425907824
contrast,gnn_minus_twohop,ci95_high,0.11349467483026349
contrast,twohop_minus_clean,delta_auprc,0.03700026185398142
contrast,twohop_minus_clean,ci95_low,0.03389443723052704
contrast,twohop_minus_clean,ci95_high,0.04023724444563443
adjudication,G1_gnn_minus_clean_ci_low_gt_0,verdict,PASS
adjudication,G2_gnn_minus_twohop_ci_low_gt_0,verdict,PASS
adjudication,G1_and_G2,verdict,ADJ-PASS
integrity,clean_sentinel_ok,flag,true
ledger,pre_sha256,hash,955337d9ec48329e4f55a2ef949700fb5b8d868734d48227a368df25a324443a
ledger,post_sha256,hash,c4dba7013af894bf9020b113012220b89a1584e88252fcb20942f944faeab13b
ledger,total_rows,count,2
telemetry,wall_seconds,value,255.4142498
telemetry,exit_code,value,0
seal,amendment3_sha256,hash,f4d06fc4b6ec049247c0fbfa17a633f6941cbc1b989557ac9c8d1855ce5b7800
seal,runner_sha256,hash,e9edba8b20ed772633f1afa5ecbfc811b28167782795a7611398bf85646b12e9
seal,method_manifest_sha256,hash,0070e290c1953b7268e60ebd8196e91178d7760297ab990518443667518d8d4a
